id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21294177,Decorated Private Room in Allston,154080595,Sophronia,,Allston,42.352562811016746,-71.12834043304231,Private room,80,2,17,2018-10-01,1.59,1,0
21296957,Industrial Chic Apartment,76545076,Taylor,,Fenway,42.34680232749332,-71.10489524810258,Entire home/apt,115,1,59,2018-09-16,4.99,28,317
21309756,Dorm sweet Dorm,154227148,Roger,,Roxbury,42.333617722537205,-71.07422486723547,Shared room,530,1,0,,,1,90
21310306,"Beautiful Apartment in Popes Hill, Dorchester",154229565,Daniel,,Dorchester,42.290320060753025,-71.05499348230427,Private room,150,1,34,2018-08-01,2.87,1,79
21310535,Modern one bedroom condo in the heart of Back Bay,11363632,Ashley,,Back Bay,42.354169541900816,-71.078890363228,Entire home/apt,99,1,33,2018-09-14,2.81,1,145
21312933,Modern Studio Apartment - Heart of the North End!,154089589,Rafael,,North End,42.36742241531745,-71.05266560689097,Entire home/apt,132,1,59,2018-09-23,4.86,2,146
21313230,Gorgeous Modern One Bedroom - Walk Everywhere!,154089589,Rafael,,North End,42.36708255943821,-71.05411819419155,Entire home/apt,140,1,39,2018-09-22,3.26,2,146
21320358,Across The Street From Paul Revere's House 2 Bed,1118374,Matthew,,North End,42.36355687783472,-71.05484269878691,Entire home/apt,290,1,86,2018-09-17,7.31,38,313
21325417,375* small & private room near MIT/Kenmore/Berklee,25149641,Kiki,,Back Bay,42.34966968909365,-71.08988650413421,Private room,135,1,16,2018-09-04,1.32,25,341
21325502,North end condo with water view!!,154373835,John,,North End,42.3663279135735,-71.0537361825743,Entire home/apt,140,1,0,,,1,0
21334193,Feel Like A Local- Modern 2BR Close to Everything!,37673574,Valentina,,Allston,42.35361063356696,-71.13597089381376,Entire home/apt,189,3,3,2018-10-07,0.46,9,70
21342930,CAN'T BEAT THESE PRICES Whole 5 BDR House by the T,135841577,Lucas,,Dorchester,42.28607928513891,-71.06947119048895,Entire home/apt,400,1,39,2018-09-23,4.38,3,187
21344533,"Spacious, Clean and Cozy City center Bedroom",7615013,Mercy,,Mission Hill,42.334304628624224,-71.1063886241367,Private room,80,1,67,2018-09-26,5.63,1,16
21344653,Sunny and Spacious 2 bed apartment in JP,51137683,Sean,,Jamaica Plain,42.31527926762982,-71.09793949535775,Entire home/apt,120,5,1,2018-03-17,0.14,2,0
21346776,Charlestown New Beautiful Two Bedroom Condo,1118374,Matthew,,Charlestown,42.37529888834313,-71.05547244038787,Entire home/apt,127,1,67,2018-09-03,5.60,38,321
21350397,Astonishing 1 Bed South End Boston's Best location,154540888,Stephanie,,South End,42.34427903486576,-71.06882403189195,Entire home/apt,195,2,42,2018-10-10,3.62,1,310
21350925,Back Bay studio on Marlborough St (monthly rental),83264972,Taylor,,Back Bay,42.35314778511627,-71.07780019674219,Entire home/apt,99,60,0,,,9,326
21354236,Beacon Hill Gem,154575332,Alex,,Beacon Hill,42.35699544545103,-71.06692511392623,Private room,175,4,0,,,1,0
21361200,2BR Contemporary Condo on Union Park in South End,63353730,Alan,,South End,42.343642945838525,-71.07308309536762,Entire home/apt,219,2,6,2017-12-26,0.51,1,0
21369962,Beacon Hill Designer Suite with Roof deck,57533988,Christal,,Beacon Hill,42.35765905932817,-71.06366575285823,Entire home/apt,349,4,36,2018-10-09,3.17,2,307
21370018,Great location to everything and to subway,149888840,Iris,,Downtown,42.35310137291953,-71.06336137460877,Entire home/apt,90,1,56,2018-09-24,5.33,4,111
21371844,Master suite near Downtown Boston,3707146,Mr. And Mrs.,,Roxbury,42.32099624610613,-71.09275774644826,Private room,120,2,2,2017-11-19,0.18,2,0
21377081,Temp accommodation for 1 person near Roxbury T,154817764,Manoj,,Mission Hill,42.328661731280455,-71.1015784957765,Shared room,20,5,0,,,1,0
21378036,Classic 1BR in Brighton by Sonder,12243051,Sonder,,Brighton,42.349193137286164,-71.14834158467366,Entire home/apt,250,2,8,2018-09-12,0.74,326,76
